planta_codigo,sector_codigo,sector_nombre,nivel_manual,nombre_visible,codigo_lgc,description_destino,codigo_sector_lgc,codigo_subsector_lgc,codigo_unidad_manual,nombre_unidad_manual
PP,PRL,PRELIMPIEZA,SUBSECTOR,DESPEDRADOR,PP-PRL-LGC-DESPEDRADOR,BTZ_Description_03,PP-PRL-LGC-PRELIMPIEZA,PP-PRL-LGC-DESPEDRADOR,,
PP,PRL,PRELIMPIEZA,SUBSECTOR,MERMA,PP-PRL-LGC-MERMA,BTZ_Description_03,PP-PRL-LGC-PRELIMPIEZA,PP-PRL-LGC-MERMA,,
PP,PRL,PRELIMPIEZA,SUBSECTOR,REDLER,PP-PRL-LGC-REDLER,BTZ_Description_03,PP-PRL-LGC-PRELIMPIEZA,PP-PRL-LGC-REDLER,,
PP,PRL,PRELIMPIEZA,SUBSECTOR,SILOS,PP-PRL-LGC-SILOS,BTZ_Description_03,PP-PRL-LGC-PRELIMPIEZA,PP-PRL-LGC-SILOS,,
PP,PRL,PRELIMPIEZA,SUBSECTOR,ZARANDAS,PP-PRL-LGC-ZARANDAS,BTZ_Description_03,PP-PRL-LGC-PRELIMPIEZA,PP-PRL-LGC-ZARANDAS,,
PP,PRP,PREPARACION,SUBSECTOR,BEAN HEATER,PP-PRP-LGC-BEAN HEATER,BTZ_Description_03,PP-PRP-LGC-PREPARACION,PP-PRP-LGC-BEAN HEATER,,
PP,PRP,PREPARACION,SUBSECTOR,CONJ TRAFOS,PP-PRP-LGC-CONJ TRAFOS,BTZ_Description_03,PP-PRP-LGC-PREPARACION,PP-PRP-LGC-CONJ TRAFOS,,
PP,PRP,PREPARACION,SUBSECTOR,EXPANDIDO,PP-PRP-LGC-EXPANDIDO,BTZ_Description_03,PP-PRP-LGC-PREPARACION,PP-PRP-LGC-EXPANDIDO,,
PP,PRP,PREPARACION,SUBSECTOR,LAMINADORES,PP-PRP-LGC-LAMINADORES,BTZ_Description_03,PP-PRP-LGC-PREPARACION,PP-PRP-LGC-LAMINADORES,,
PP,PRP,PREPARACION,SUBSECTOR,QUEBRADORES,PP-PRP-LGC-QUEBRADORES,BTZ_Description_03,PP-PRP-LGC-PREPARACION,PP-PRP-LGC-QUEBRADORES,,
PP,PRP,PREPARACION,SUBSECTOR,REDLER,PP-PRP-LGC-REDLER,BTZ_Description_03,PP-PRP-LGC-PREPARACION,PP-PRP-LGC-REDLER,,
PP,RPS,REPUESTOS,SUBSECTOR,EN REPARACION,PP-RPS-LGC-EN REPARACION,BTZ_Description_03,PP-RPS-LGC-REPUESTOS,PP-RPS-LGC-EN REPARACION,,
PP,SRV,SERVICIOS,SUBSECTOR,AIRE COMPRIMIDO,PP-SRV-LGC-AIRE COMPRIMIDO,BTZ_Description_03,PP-SRV-LGC-SERVICIOS,PP-SRV-LGC-AIRE COMPRIMIDO,,
PP,SRV,SERVICIOS,SUBSECTOR,BOMBAS DE RIO,PP-SRV-LGC-BOMBAS DE RIO,BTZ_Description_03,PP-SRV-LGC-SERVICIOS,PP-SRV-LGC-BOMBAS DE RIO,,
PP,SRV,SERVICIOS,SUBSECTOR,CLARIFICADORA,PP-SRV-LGC-CLARIFICADORA,BTZ_Description_03,PP-SRV-LGC-SERVICIOS,PP-SRV-LGC-CLARIFICADORA,,
PP,SRV,SERVICIOS,SUBSECTOR,FUEL OIL,PP-SRV-LGC-FUEL OIL,BTZ_Description_03,PP-SRV-LGC-SERVICIOS,PP-SRV-LGC-FUEL OIL,,
PP,SRV,SERVICIOS,SUBSECTOR,TRAT QUIM CALD,PP-SRV-LGC-TRAT QUIM CALD,BTZ_Description_03,PP-SRV-LGC-SERVICIOS,PP-SRV-LGC-TRAT QUIM CALD,,
PP,SRV,SERVICIOS,SUBSECTOR,TRAT. DE AGUA,PP-SRV-LGC-TRAT. DE AGUA,BTZ_Description_03,PP-SRV-LGC-SERVICIOS,PP-SRV-LGC-TRAT. DE AGUA,,
PP,SRV,SERVICIOS,SUBSECTOR,VAPOR,PP-SRV-LGC-VAPOR,BTZ_Description_03,PP-SRV-LGC-SERVICIOS,PP-SRV-LGC-VAPOR,,
TE,ACT,SECTOR ACEITE,SUBSECTOR,TANQUES 400,TE-ACT-LGC-TANQUES 400,BTZ_Description_03,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES 400,,
