codigo_project,descripcion_project,element_id_contenedor,unique_id_contenedor,btz_path_contenedor,tipo_asociacion,ancestro_project_usado,estado_asociacion,escrito_en_btz_description,btz_description_slot_usado,motivo
P10-EXT-HDR-HCS04O,HIDROCICLON SECUNDARIO HCS04O LADO OESTE -NORTE A SUR,282755,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045083,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-EXT-M202 > P10-EXT-LGC-HIDROCICLONES,contenedor_por_ancestro_project,P10-EXT-LGC-HIDROCICLONES,asociado_a_contenedor,SI,btz_description_15,escrito_en_slot_btz
P10-EXT-HDR-HCS05E,HIDROCICLON SECUNDARIO HCS05E LADO ESTE -NORTE A SUR,282755,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045083,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-EXT-M202 > P10-EXT-LGC-HIDROCICLONES,contenedor_por_ancestro_project,P10-EXT-LGC-HIDROCICLONES,asociado_a_contenedor,SI,btz_description_16,escrito_en_slot_btz
P10-EXT-HDR-HCS05O,HIDROCICLON SECUNDARIO HCS05O LADO OESTE -NORTE A SUR,282755,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045083,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-EXT-M202 > P10-EXT-LGC-HIDROCICLONES,contenedor_por_ancestro_project,P10-EXT-LGC-HIDROCICLONES,asociado_a_contenedor,SI,btz_description_17,escrito_en_slot_btz
P10-EXT-HDR-HCS06E,HIDROCICLON SECUNDARIO HCS06E LADO ESTE -NORTE A SUR,282755,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045083,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-EXT-M202 > P10-EXT-LGC-HIDROCICLONES,contenedor_por_ancestro_project,P10-EXT-LGC-HIDROCICLONES,asociado_a_contenedor,SI,btz_description_18,escrito_en_slot_btz
P10-EXT-HDR-HCS06O,HIDROCICLON SECUNDARIO HCS06O LADO OESTE -NORTE A SUR,282755,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045083,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-EXT-M202 > P10-EXT-LGC-HIDROCICLONES,contenedor_por_ancestro_project,P10-EXT-LGC-HIDROCICLONES,asociado_a_contenedor,SI,btz_description_19,escrito_en_slot_btz
P10-EXT-HDR-HCS07E,HIDROCICLON SECUNDARIO HCS07E LADO ESTE -NORTE A SUR,282755,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045083,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-EXT-M202 > P10-EXT-LGC-HIDROCICLONES,contenedor_por_ancestro_project,P10-EXT-LGC-HIDROCICLONES,asociado_a_contenedor,SI,btz_description_20,escrito_en_slot_btz
P10-EXT-HDR-HCS07O,HIDROCICLON SECUNDARIO HCS07O LADO OESTE -NORTE A SUR,282755,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045083,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-EXT-M202 > P10-EXT-LGC-HIDROCICLONES,contenedor_por_ancestro_project,P10-EXT-LGC-HIDROCICLONES,asociado_a_contenedor,SI,btz_description_21,escrito_en_slot_btz
P10-EXT-HDR-HCS08E,HIDROCICLON SECUNDARIO HCS08E LADO ESTE -NORTE A SUR,282755,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045083,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-EXT-M202 > P10-EXT-LGC-HIDROCICLONES,contenedor_por_ancestro_project,P10-EXT-LGC-HIDROCICLONES,asociado_a_contenedor,SI,btz_description_22,escrito_en_slot_btz
P10-EXT-HDR-HCS08O,HIDROCICLON SECUNDARIO HCS08O LADO OESTE -NORTE A SUR,282755,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045083,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-EXT-M202 > P10-EXT-LGC-HIDROCICLONES,contenedor_por_ancestro_project,P10-EXT-LGC-HIDROCICLONES,asociado_a_contenedor,SI,btz_description_23,escrito_en_slot_btz
P10-EXT-HDR-HCS09E,HIDROCICLON SECUNDARIO HCS09E LADO ESTE -NORTE A SUR,282755,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045083,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-EXT-M202 > P10-EXT-LGC-HIDROCICLONES,contenedor_por_ancestro_project,P10-EXT-LGC-HIDROCICLONES,asociado_a_contenedor,SI,btz_description_24,escrito_en_slot_btz
