codigo_project,element_id_contenedor_detectado,unique_id_contenedor_detectado,btz_path_contenedor,estado_lectura,motivo,columnas_detectadas
P10-EXT-VLV-VSA420,282997,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045175,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-DESGOMADO,ok,,codigo;element_id;unique_id;path
P10-EXT-TNQ-V420B,282997,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045175,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-DESGOMADO,ok,,codigo;element_id;unique_id;path
P10-EXT-TNQ-TK492,282997,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045175,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-DESGOMADO,ok,,codigo;element_id;unique_id;path
P10-EXT-BMB-P492,282997,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045175,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-DESGOMADO,ok,,codigo;element_id;unique_id;path
P10-EXT-VLV-SOV430,282997,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045175,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-DESGOMADO,ok,,codigo;element_id;unique_id;path
P10-EXT-VLV-SOV426,282997,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045175,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-DESGOMADO,ok,,codigo;element_id;unique_id;path
P10-EXT-EVP-HX301,282969,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045159,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-DESTILACION,ok,,codigo;element_id;unique_id;path
P10-EXT-CND-HX305,282969,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045159,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-DESTILACION,ok,,codigo;element_id;unique_id;path
P10-EXT-CND-HX304,282969,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045159,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-DESTILACION,ok,,codigo;element_id;unique_id;path
P10-EXT-EVP-HX307,282969,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045159,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-DESTILACION,ok,,codigo;element_id;unique_id;path
P10-EXT-CND-HX308,282969,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045159,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-DESTILACION,ok,,codigo;element_id;unique_id;path
P10-EXT-EVP-HX309,282969,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045159,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-DESTILACION,ok,,codigo;element_id;unique_id;path
P10-EXT-BMB-P310,282969,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045159,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-DESTILACION,ok,,codigo;element_id;unique_id;path
P10-EXT-INT-HX314,282969,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045159,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-DESTILACION,ok,,codigo;element_id;unique_id;path
P10-EXT-STR-V311,282969,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045159,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-DESTILACION,ok,,codigo;element_id;unique_id;path
P10-EXT-BMB-P313B,282969,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045159,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-DESTILACION,ok,,codigo;element_id;unique_id;path
