fecha,project_xml,planta,element_id,unique_id,parametro,codigo_anterior,codigo_nuevo,estado,mensaje
2026-06-02 10:35:25,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\P10.xml,P10,282804,a027b4da-4e9c-44ad-b607-5fb48d4c7061-000450b4,BTZ_Description_08,P10-EXT-CND-HX340,P10-EXT-CND-HX340 VENTEO,corregido,Completado desde etiqueta Project XML
2026-06-02 10:35:25,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\P10.xml,P10,282804,a027b4da-4e9c-44ad-b607-5fb48d4c7061-000450b4,BTZ_Description_09,P10-EXT-ENF-HX347,P10-EXT-ENF-HX347 AC MIN,corregido,Completado desde etiqueta Project XML
2026-06-02 10:35:25,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\P10.xml,P10,282804,a027b4da-4e9c-44ad-b607-5fb48d4c7061-000450b4,BTZ_Description_10,P10-EXT-INT-HX343,P10-EXT-INT-HX343 AC/AC MIN,corregido,Completado desde etiqueta Project XML
2026-06-02 10:35:25,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\P10.xml,P10,282804,a027b4da-4e9c-44ad-b607-5fb48d4c7061-000450b4,BTZ_Description_11,P10-EXT-STR-V345,P10-EXT-STR-V345 STRIP MIN,corregido,Completado desde etiqueta Project XML
2026-06-02 10:35:25,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\P10.xml,P10,282804,a027b4da-4e9c-44ad-b607-5fb48d4c7061-000450b4,BTZ_NumeroActivo,P10-EXT-LGC-RECUP,,limpiado_duplicado,El código completo ya existía en BTZ_Description_03; se limpió el truncado
2026-06-02 10:35:25,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\P10.xml,P10,282896,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045110,BTZ_Description_06,P10-EXT-PRC-HX302,P10-EXT-PRC-HX302 PREC SOLV,corregido,Completado desde etiqueta Project XML
2026-06-02 10:35:25,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\P10.xml,P10,282896,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045110,BTZ_Description_07,P10-EXT-INT-V338,P10-EXT-INT-V338 INT REHERV,corregido,Completado desde etiqueta Project XML
2026-06-02 10:35:25,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\P10.xml,P10,282896,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045110,BTZ_Description_08,P10-EXT-RHV-HX337,P10-EXT-RHV-HX337 REHERVIDOR,corregido,Completado desde etiqueta Project XML
2026-06-02 10:35:25,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\P10.xml,P10,282896,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045110,BTZ_Description_09,P10-EXT-TNQ-V330,P10-EXT-TNQ-V330 TK SERVICIO,corregido,Completado desde etiqueta Project XML
2026-06-02 10:35:25,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\P10.xml,P10,282969,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045159,BTZ_Description_04,P10-EXT-EVP-HX301,P10-EXT-EVP-HX301 EV01,corregido,Completado desde etiqueta Project XML
2026-06-02 10:35:25,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\P10.xml,P10,282969,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045159,BTZ_Description_05,P10-EXT-CND-HX305,P10-EXT-CND-HX305 EV01 OESTE,corregido,Completado desde etiqueta Project XML
2026-06-02 10:35:25,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\P10.xml,P10,282969,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045159,BTZ_Description_06,P10-EXT-CND-HX304,P10-EXT-CND-HX304 EV01 ESTE,corregido,Completado desde etiqueta Project XML
2026-06-02 10:35:25,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\P10.xml,P10,282969,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045159,BTZ_Description_07,P10-EXT-EVP-HX307,P10-EXT-EVP-HX307 EV02,corregido,Completado desde etiqueta Project XML
2026-06-02 10:35:25,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\P10.xml,P10,282969,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045159,BTZ_Description_08,P10-EXT-CND-HX308,P10-EXT-CND-HX308 EV02-3,corregido,Completado desde etiqueta Project XML
2026-06-02 10:35:25,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\P10.xml,P10,282969,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045159,BTZ_Description_09,P10-EXT-EVP-HX309,P10-EXT-EVP-HX309 EV03,corregido,Completado desde etiqueta Project XML
2026-06-02 10:35:25,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\P10.xml,P10,282969,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045159,BTZ_Description_11,P10-EXT-INT-HX314,P10-EXT-INT-HX314 AC/MIS,corregido,Completado desde etiqueta Project XML
2026-06-02 10:35:25,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\P10.xml,P10,282969,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045159,BTZ_Description_12,P10-EXT-STR-V311,P10-EXT-STR-V311 STRIP VEG,corregido,Completado desde etiqueta Project XML
2026-06-02 10:35:25,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\P10.xml,P10,282969,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045159,BTZ_Description_15,P10-EXT-CND-HX312,P10-EXT-CND-HX312 STRIP VEG,corregido,Completado desde etiqueta Project XML
